STATE,FIRE_YEAR,FIRE_COUNT
Minnesota,2013,1132
Minnesota,2014,1006
Minnesota,2015,1838
Missouri,1992,1680
Missouri,1993,907
Missouri,1994,1607
Missouri,1995,2060
Missouri,1996,443
Missouri,1997,1314
Missouri,1998,521
Missouri,1999,1204
Missouri,2000,673
Missouri,2001,884
Missouri,2002,670
Missouri,2003,340
Missouri,2004,307
Missouri,2005,413
Missouri,2006,442
Missouri,2007,523
Missouri,2008,136
Missouri,2009,239
Missouri,2010,196
Missouri,2011,740
Missouri,2012,221
Missouri,2013,413
Missouri,2014,1251
Missouri,2015,769
Mississippi,1992,4478
Mississippi,1993,4015
Mississippi,1994,3356
Mississippi,1995,4992
Mississippi,1996,4923
Mississippi,1997,2783
Mississippi,1998,3424
Mississippi,1999,5436
Mississippi,2000,7984
Mississippi,2001,2888
Mississippi,2002,2832
Mississippi,2003,1913
Mississippi,2004,2812
Mississippi,2005,3520
Mississippi,2006,5533
Mississippi,2007,2767
Mississippi,2008,2016
Mississippi,2009,1966
Mississippi,2010,2926
Mississippi,2011,1614
Mississippi,2012,1218
Mississippi,2013,1488
Mississippi,2014,2224
Mississippi,2015,2122
Montana,1992,1642
Montana,1993,743
Montana,1994,2984
Montana,1995,1052
Montana,1996,1993
Montana,1997,993
Montana,1998,1909
Montana,1999,2089
Montana,2000,2428
Montana,2001,1603
Montana,2002,1597
Montana,2003,2471
Montana,2004,1503
Montana,2005,1497
Montana,2006,2460
Montana,2007,1997
Montana,2008,1532
Montana,2009,1662
Montana,2010,1140
Montana,2011,1190
Montana,2012,1854
Montana,2013,1359
Montana,2014,1203
Montana,2015,1866
North Carolina,1992,5696
North Carolina,1993,4808
North Carolina,1994,5739
North Carolina,1995,5253
North Carolina,1996,4238
North Carolina,1997,4512
North Carolina,1998,4324
North Carolina,1999,4041
North Carolina,2000,4987
North Carolina,2001,8143
North Carolina,2002,5590
North Carolina,2003,2041
North Carolina,2004,4343
North Carolina,2005,4045
North Carolina,2006,5059
North Carolina,2007,7284
North Carolina,2008,4382
North Carolina,2009,3319
North Carolina,2010,4100
North Carolina,2011,5427
North Carolina,2012,3559
North Carolina,2013,3329
North Carolina,2014,4587
North Carolina,2015,2471
North Dakota,1992,396
North Dakota,1993,386
North Dakota,1994,501
North Dakota,1995,272
North Dakota,1996,527
North Dakota,1997,453
North Dakota,1998,492
North Dakota,1999,506
North Dakota,2000,627
North Dakota,2001,553
North Dakota,2002,907
North Dakota,2003,835
North Dakota,2004,819
North Dakota,2005,903
North Dakota,2006,1061
North Dakota,2007,865
North Dakota,2008,723
North Dakota,2009,415
North Dakota,2010,435
North Dakota,2011,373
North Dakota,2012,1098
North Dakota,2013,541
North Dakota,2014,510
North Dakota,2015,1003
Nebraska,1992,25
Nebraska,1993,17
Nebraska,1994,80
Nebraska,1995,56
Nebraska,1996,59
Nebraska,1997,57
Nebraska,1998,43
Nebraska,1999,75
Nebraska,2000,114
Nebraska,2001,77
Nebraska,2002,183
Nebraska,2003,161
Nebraska,2004,169
Nebraska,2005,177
Nebraska,2006,122
Nebraska,2007,822
Nebraska,2008,611
Nebraska,2009,715
Nebraska,2010,610
Nebraska,2011,832
Nebraska,2012,1223
Nebraska,2013,423
Nebraska,2014,723
Nebraska,2015,599
New Hampshire,1992,107
New Hampshire,1993,142
New Hampshire,1994,133
New Hampshire,1995,195
New Hampshire,1996,83
New Hampshire,1997,85
New Hampshire,1998,171
New Hampshire,1999,5
New Hampshire,2000,87
New Hampshire,2001,124
New Hampshire,2002,116
New Hampshire,2003,56
New Hampshire,2004,70
New Hampshire,2005,88
New Hampshire,2006,111
New Hampshire,2007,95
New Hampshire,2008,102
New Hampshire,2009,68
New Hampshire,2010,98
New Hampshire,2011,4
New Hampshire,2012,100
New Hampshire,2013,147
New Hampshire,2014,125
New Hampshire,2015,140
New Jersey,1992,1325
New Jersey,1993,842
New Jersey,1994,1326
New Jersey,1995,1817
New Jersey,1996,768
New Jersey,1997,1383
New Jersey,1998,1312
New Jersey,1999,1758
New Jersey,2000,972
New Jersey,2001,1571
New Jersey,2002,1419
New Jersey,2003,674
New Jersey,2004,819
New Jersey,2005,996
New Jersey,2006,1352
New Jersey,2007,1097
New Jersey,2008,1152
New Jersey,2009,614
New Jersey,2010,1010
New Jersey,2011,272
New Jersey,2012,1029
New Jersey,2013,872
New Jersey,2014,799
New Jersey,2015,770
New Mexico,1992,977
New Mexico,1993,1809
New Mexico,1994,2668
New Mexico,1995,1665
New Mexico,1996,2101
New Mexico,1997,1380
New Mexico,1998,1294
New Mexico,1999,1231
New Mexico,2000,2794
New Mexico,2001,1701
New Mexico,2002,2077
New Mexico,2003,1969
New Mexico,2004,1229
New Mexico,2005,1582
New Mexico,2006,1996
New Mexico,2007,1428
New Mexico,2008,864
New Mexico,2009,1448
New Mexico,2010,1145
New Mexico,2011,2197
New Mexico,2012,1174
New Mexico,2013,1078
New Mexico,2014,893
New Mexico,2015,778
Nevada,1992,556
Nevada,1993,443
Nevada,1994,710
Nevada,1995,545
Nevada,1996,1088
Nevada,1997,595
