STATE,FIRE_YEAR,FIRE_COUNT
NC,2003,2041
NC,2004,4343
NC,2005,4045
NC,2006,5059
NC,2007,7284
NC,2008,4382
NC,2009,3319
NC,2010,4100
NC,2011,5427
NC,2012,3559
NC,2013,3329
NC,2014,4587
NC,2015,2471
ND,1992,396
ND,1993,386
ND,1994,501
ND,1995,272
ND,1996,527
ND,1997,453
ND,1998,492
ND,1999,506
ND,2000,627
ND,2001,553
ND,2002,907
ND,2003,835
ND,2004,819
ND,2005,903
ND,2006,1061
ND,2007,865
ND,2008,723
ND,2009,415
ND,2010,435
ND,2011,373
ND,2012,1098
ND,2013,541
ND,2014,510
ND,2015,1003
NE,1992,25
NE,1993,17
NE,1994,80
NE,1995,56
NE,1996,59
NE,1997,57
NE,1998,43
NE,1999,75
NE,2000,114
NE,2001,77
NE,2002,183
NE,2003,161
NE,2004,169
NE,2005,177
NE,2006,122
NE,2007,822
NE,2008,611
NE,2009,715
NE,2010,610
NE,2011,832
NE,2012,1223
NE,2013,423
NE,2014,723
NE,2015,599
NH,1992,107
NH,1993,142
NH,1994,133
NH,1995,195
NH,1996,83
NH,1997,85
NH,1998,171
NH,1999,5
NH,2000,87
NH,2001,124
NH,2002,116
NH,2003,56
NH,2004,70
NH,2005,88
NH,2006,111
NH,2007,95
NH,2008,102
NH,2009,68
NH,2010,98
NH,2011,4
NH,2012,100
NH,2013,147
NH,2014,125
NH,2015,140
NJ,1992,1325
NJ,1993,842
NJ,1994,1326
NJ,1995,1817
NJ,1996,768
NJ,1997,1383
NJ,1998,1312
NJ,1999,1758
NJ,2000,972
NJ,2001,1571
NJ,2002,1419
NJ,2003,674
NJ,2004,819
NJ,2005,996
NJ,2006,1352
NJ,2007,1097
NJ,2008,1152
NJ,2009,614
NJ,2010,1010
NJ,2011,272
NJ,2012,1029
NJ,2013,872
NJ,2014,799
NJ,2015,770
NM,1992,977
NM,1993,1809
NM,1994,2668
NM,1995,1665
NM,1996,2101
NM,1997,1380
NM,1998,1294
NM,1999,1231
NM,2000,2794
NM,2001,1701
NM,2002,2077
NM,2003,1969
NM,2004,1229
NM,2005,1582
NM,2006,1996
NM,2007,1428
NM,2008,864
NM,2009,1448
NM,2010,1145
NM,2011,2197
NM,2012,1174
NM,2013,1078
NM,2014,893
NM,2015,778
NV,1992,556
NV,1993,443
NV,1994,710
NV,1995,545
NV,1996,1088
NV,1997,595
NV,1998,638
NV,1999,1047
NV,2000,977
NV,2001,1118
NV,2002,649
NV,2003,664
NV,2004,776
NV,2005,749
NV,2006,1049
NV,2007,698
NV,2008,447
NV,2009,570
NV,2010,353
NV,2011,721
NV,2012,838
NV,2013,657
NV,2014,542
NV,2015,526
NY,1992,364
NY,1993,304
NY,1994,129
NY,1995,487
NY,1996,107
NY,1997,365
NY,1998,310
NY,1999,711
NY,2000,1756
NY,2001,3262
NY,2002,3512
NY,2003,4934
NY,2004,4062
NY,2005,7700
NY,2006,6631
NY,2007,6319
NY,2008,7156
NY,2009,5764
NY,2010,6181
NY,2011,3740
NY,2012,3944
NY,2013,2890
NY,2014,4358
NY,2015,5884
OH,1992,21
OH,1993,18
OH,1994,28
OH,1995,47
OH,1996,9
OH,1997,22
OH,1998,27
OH,1999,40
OH,2000,28
OH,2001,86
OH,2002,142
OH,2003,63
OH,2004,72
OH,2005,100
OH,2006,222
OH,2007,259
OH,2008,116
OH,2009,244
OH,2010,180
OH,2011,79
OH,2012,204
OH,2013,323
OH,2014,612
OH,2015,537
OK,1992,1468
OK,1993,2300
OK,1994,1913
OK,1995,2603
OK,1996,2689
OK,1997,914
OK,1998,816
OK,1999,1665
OK,2000,1643
OK,2001,1290
OK,2002,1535
OK,2003,1639
OK,2004,1688
OK,2005,2768
OK,2006,3265
OK,2007,1334
OK,2008,2165
OK,2009,2049
OK,2010,2146
OK,2011,2542
OK,2012,1655
OK,2013,795
OK,2014,1172
OK,2015,1185
OR,1992,3957
OR,1993,1852
OR,1994,3473
OR,1995,2264
OR,1996,2875
OR,1997,2142
OR,1998,2575
OR,1999,2927
OR,2000,1938
OR,2001,3368
OR,2002,2759
OR,2003,2615
OR,2004,2270
OR,2005,1746
OR,2006,3184
OR,2007,2512
OR,2008,2668
OR,2009,2304
OR,2010,1925
OR,2011,1968
OR,2012,1657
OR,2013,2562
OR,2014,3047
OR,2015,2500
PA,1992,17
PA,1993,19
PA,1994,20
PA,1995,22
PA,1996,12
PA,1997,12
PA,1998,18
PA,1999,30
PA,2000,14
PA,2001,35
PA,2002,628
PA,2003,407
PA,2004,193
PA,2005,783
PA,2006,874
PA,2007,514
PA,2008,652
PA,2009,633
PA,2010,583
PA,2011,201
PA,2012,724
PA,2013,639
PA,2014,875
PA,2015,807
PR,1992,4
PR,1993,1
PR,1994,4
PR,1996,3
PR,1997,6
PR,1998,1
PR,2002,1
PR,2003,3622
PR,2004,1885
PR,2005,4274
PR,2006,2529
PR,2007,3693
PR,2008,17
PR,2009,1690
PR,2010,1750
PR,2011,2490
PR,2012,8
PR,2013,33
PR,2014,42
PR,2015,28
RI,1994,1
RI,2005,18
RI,2006,25
RI,2007,21
RI,2008,135
RI,2009,47
RI,2011,34
RI,2012,49
RI,2013,19
RI,2014,46
RI,2015,85
SC,1992,5195
SC,1993,5287
SC,1994,4489
SC,1995,3520
SC,1996,4414
SC,1997,3070
SC,1998,3508
SC,1999,5384
SC,2000,4995
SC,2001,6225
SC,2002,4683
SC,2003,1315
SC,2004,3058
SC,2005,2704
SC,2006,2855
SC,2007,3998
SC,2008,2744
SC,2009,1757
SC,2010,2144
SC,2011,3181
SC,2012,1971
SC,2013,1626
SC,2014,1893
SC,2015,1299
SD,1992,554
SD,1993,438
SD,1994,882
SD,1995,665
SD,1996,839
SD,1997,607
SD,1998,816
SD,1999,1409
SD,2000,2271
SD,2001,1338
SD,2002,1962
SD,2003,1730
SD,2004,1377
SD,2005,1762
SD,2006,2646
SD,2007,1627
SD,2008,1190
SD,2009,984
SD,2010,698
SD,2011,1431
SD,2012,2726
SD,2013,1022
SD,2014,1023
SD,2015,966
TN,1992,55
TN,1993,65
TN,1994,73
TN,1995,106
TN,1996,56
TN,1997,1394
TN,1998,1836
TN,1999,3454
TN,2000,2674
TN,2001,2521
TN,2002,1485
TN,2003,31
TN,2004,69
TN,2005,2041
TN,2006,2183
TN,2007,3393
TN,2008,1429
TN,2009,1477
TN,2010,1904
TN,2011,1195
TN,2012,1203
TN,2013,638
TN,2014,1260
TN,2015,612
TX,1992,1168
TX,1993,1457
TX,1994,907
TX,1995,1648
TX,1996,2843
TX,1997,770
TX,1998,2026
TX,1999,1775
TX,2000,2627
TX,2001,771
TX,2002,1229
TX,2003,1147
TX,2004,1040
TX,2005,6901
TX,2006,15022
TX,2007,5477
TX,2008,18067
TX,2009,14142
TX,2010,9351
TX,2011,19453
TX,2012,7623
TX,2013,9735
TX,2014,8538
TX,2015,8304
UT,1992,1092
UT,1993,710
UT,1994,1663
UT,1995,1151
UT,1996,1666
UT,1997,862
UT,1998,873
UT,1999,1282
UT,2000,1857
UT,2001,1775
UT,2002,1143
UT,2003,1422
UT,2004,1519
UT,2005,1362
UT,2006,1926
UT,2007,1548
UT,2008,1062
UT,2009,1157
UT,2010,1056
UT,2011,1095
UT,2012,1592
UT,2013,1249
UT,2014,1058
UT,2015,605
VA,1992,43
VA,1993,54
VA,1994,78
VA,1995,1550
VA,1996,824
VA,1997,1133
VA,1998,1168
VA,1999,1583
VA,2000,988
VA,2001,2101
VA,2002,1572
VA,2003,344
VA,2004,301
VA,2005,786
VA,2006,1268
VA,2007,1446
VA,2008,1287
VA,2009,784
VA,2010,1026
VA,2011,813
VA,2012,685
VA,2013,581
VA,2014,821
VA,2015,597
VT,1992,1
VT,1993,1
VT,1994,6
VT,1995,2
VT,1997,2
VT,1998,2
VT,1999,3
VT,2002,6
VT,2003,9
VT,2004,16
VT,2005,26
VT,2006,4
VT,2007,5
VT,2008,5
VT,2009,1
VT,2010,2
VT,2012,97
VT,2013,126
VT,2014,55
VT,2015,87
WA,1992,1774
WA,1993,986
WA,1994,2022
WA,1995,1213
WA,1996,1091
WA,1997,999
WA,1998,1477
WA,1999,1475
WA,2000,1226
WA,2001,1158
WA,2002,1418
WA,2003,1433
WA,2004,1591
WA,2005,1089
WA,2006,1577
WA,2007,1304
WA,2008,1490
WA,2009,2000
WA,2010,1048
WA,2011,1028
WA,2012,1428
WA,2013,1378
WA,2014,1567
WA,2015,1741
WI,1992,1287
WI,1993,884
WI,1994,1973
WI,1995,1640
WI,1996,1463
WI,1997,1675
WI,1998,1611
WI,1999,1604
WI,2000,1578
WI,2001,993
WI,2002,949
WI,2003,2253
WI,2004,1161
WI,2005,1565
WI,2006,1658
WI,2007,1487
WI,2008,813
WI,2009,1578
WI,2010,1312
WI,2011,735
WI,2012,1380
WI,2013,692
WI,2014,605
WI,2015,965
WV,1992,701
WV,1993,847
WV,1994,1010
WV,1995,1241
WV,1996,651
WV,1997,719
WV,1998,1006
WV,1999,1949
WV,2000,1106
WV,2001,1789
WV,2002,1000
WV,2003,641
WV,2004,618
WV,2005,762
WV,2006,1026
WV,2007,836
WV,2008,886
WV,2009,984
WV,2010,796
WV,2011,489
WV,2012,694
WV,2013,580
WV,2014,951
WV,2015,685
WY,1992,746
WY,1993,269
WY,1994,919
WY,1995,530
WY,1996,1032
WY,1997,195
WY,1998,198
WY,1999,305
WY,2000,571
WY,2001,672
WY,2002,670
WY,2003,717
WY,2004,409
WY,2005,521
WY,2006,769
WY,2007,595
WY,2008,449
WY,2009,474
WY,2010,631
WY,2011,640
WY,2012,1046
WY,2013,581
WY,2014,595
WY,2015,632
