ID,STATE,FIRE_YEAR,FIRE_COUNT,FIRE_AREA,NUM_BURNED_ACRES_PER_10K_ACRE
365,Kansas,2000,41,9218.7,1.88
366,Kansas,2001,54,2658.4,0.54
367,Kansas,2002,98,65538.8,13.36
368,Kansas,2003,71,8024.9,1.64
369,Kansas,2004,47,1674.0,0.34
370,Kansas,2005,116,22907.1,4.67
371,Kansas,2006,242,79150.4,16.13
372,Kansas,2007,121,16722.3,3.41
373,Kansas,2008,65,74241.5,15.13
374,Kansas,2009,68,38964.6,7.94
375,Kansas,2010,37,25108.6,5.12
376,Kansas,2011,48,91609.4,18.67
377,Kansas,2012,62,57328.8,11.69
378,Kansas,2013,9,6866.5,1.4
379,Kansas,2014,52,36524.9,7.45
380,Kansas,2015,3123,124073.5,25.29
381,Kentucky,1992,39,602.5,0.25
382,Kentucky,1993,63,839.5,0.35
383,Kentucky,1994,138,4650.8,1.96
384,Kentucky,1995,130,5849.5,2.47
385,Kentucky,1996,53,1111.9,0.47
386,Kentucky,1997,669,11611.6,4.9
387,Kentucky,1998,920,24959.8,10.54
388,Kentucky,1999,1835,125625.2,53.03
389,Kentucky,2000,1428,136165.2,57.47
390,Kentucky,2001,1879,175123.7,73.92
391,Kentucky,2002,1028,25851.6,10.91
392,Kentucky,2003,805,19801.1,8.36
393,Kentucky,2004,1060,22660.200000000004,9.56
394,Kentucky,2005,1498,56366.399999999994,23.79
395,Kentucky,2006,1677,53569.59999999999,22.61
396,Kentucky,2007,2046,65606.2,27.69
397,Kentucky,2008,1549,38912.2,16.42
398,Kentucky,2009,1408,43492.8,18.36
399,Kentucky,2010,1887,60205.2,25.41
400,Kentucky,2011,1022,23871.8,10.08
401,Kentucky,2012,1078,32592.999999999996,13.76
402,Kentucky,2013,940,22967.900000000005,9.69
403,Kentucky,2014,1377,42267.3,17.84
404,Kentucky,2015,707,19663.8,8.3
405,Louisiana,1992,77,25126.8,9.69
406,Louisiana,1993,104,8061.6,3.11
407,Louisiana,1994,91,2514.0,0.97
